,date,floe_id,x,y,longitude,latitude,u,v,bearing,speed,u_wind,v_wind
1005,2008-04-18 12:00:00,2008_1414,711416.6,-1023768.15,-10.20456,78.52846,-0.024257990053475294,-0.05699758609318374,203.05444834718566,0.0619449344328041,-0.578000009059906,1.684000015258789
1006,2008-04-19 12:00:00,2008_1414,712505.67552,-1029008.21409,-10.3005,78.48342,-0.03633242717648924,-0.08757424778780573,202.5323741644084,0.09481188817935698,-0.5669999718666077,-2.75
1008,2008-04-18 12:00:00,2008_1416,743896.55,-865834.35,-4.33192,79.49074,-0.011818483846230465,-0.18551454596294076,183.64518798800236,0.1858906219373631,1.8070000410079956,-1.6619999408721924
1009,2008-04-19 12:00:00,2008_1416,753567.39791,-878657.32965,-4.38243,79.34399,-0.08015887761079765,-0.2508343750185821,197.72226552070907,0.26333121605838056,0.8460000157356262,-5.1579999923706055
1010,2008-04-20 12:00:00,2008_1416,762418.95,-899616.7,-4.71889,79.14542,-0.04112738314943791,-0.24621958555942058,189.48287598248226,0.24963081932680808,3.2200000286102295,-4.598999977111816
1011,2008-04-21 12:00:00,2008_1416,773462.15146,-918143.18805,-4.88849,78.95072,-0.002622929177710079,-0.20230695519596006,180.7428036866939,0.20232395774631207,1.4259999990463257,-0.996999979019165
1013,2008-04-18 12:00:00,2008_1421,782251.35,-965586.9,-5.98802,78.56496,-0.030650904371812587,-0.1346992774828812,192.81940531664384,0.13814258320018571,0.593999981880188,-0.5239999890327454
1014,2008-04-19 12:00:00,2008_1421,787519.56467,-976296.82682,-6.10895,78.45854,-0.062245124867826164,-0.1694167351127275,200.17375411915435,0.18048957229177354,0.17499999701976776,-4.355000019073486
1015,2008-04-20 12:00:00,2008_1421,792523.75,-991066.4,-6.3518,78.32464,-0.03953742444259546,-0.1455867489705545,195.1935422009551,0.15085989993158952,0.9739999771118164,-3.0420000553131104
1017,2008-04-18 12:00:00,2008_1427,846622.16642,-1659730.52054,-17.97404,72.92282,-0.018271824555625225,-0.13475959155483622,187.72154923705693,0.13599267292254327,0.5040000081062317,-1.690000057220459
1019,2008-04-18 12:00:00,2008_1429,837479.55726,-1660253.31599,-18.2323,72.95598,-0.024420616453825088,-0.1392700195873309,189.94554972252496,0.1413948544461232,0.33000001311302185,-1.440000057220459
1020,2008-04-19 12:00:00,2008_1429,841015.03799,-1671947.05898,-18.29687,72.84725,-0.04261871091911973,-0.14637594946957608,196.23340726263123,0.15245416722257016,-1.753999948501587,-1.4470000267028809
1021,2008-04-20 12:00:00,2008_1429,843408.6,-1684899.8,-18.40888,72.73298,-0.013987264273752548,-0.12623332947130195,186.32285730110533,0.1270058936871595,0.013000000268220901,-2.1429998874664307
